"species","speciesKey","occurences","family","iucnRedListCategory","abundance_rank","shannon_info"
"Acrocephalus schoenobaenus","9L7Y",2645,"Acrocephalidae","LC",109,8.8794408022192
"Periparus ater","4F2VB",2539,"Paridae","LC",110,8.93844812957308
"Rallus aquaticus","4RB9P",2367,"Rallidae","LC",111,9.03964881848598
"Lophophanes cristatus","3W3VB",2327,"Paridae","LC",112,9.06423731381524
"Charadrius hiaticula","TMWY",2321,"Charadriidae","LC",113,9.06796200187611
"Riparia riparia","4T4PL",2308,"Hirundinidae","LC",114,9.07606530057511
"Turdus viscivorus","59PNF",2268,"Turdidae","LC",115,9.10128788427836
"Arenaria interpres","67RLB",2219,"Scolopacidae","NT",116,9.13279885702358
"Anthus trivialis","5VKFM",2216,"Motacillidae","LC",117,9.1347506431714
"Acrocephalus palustris","9L78",2209,"Acrocephalidae","LC",118,9.13931510586531
"Emberiza citrinella","39FSZ",2207,"Emberizidae","LC",119,9.14062189494098
"Poecile palustris","4KSC9",2176,"Paridae","LC",120,9.16102996797025
"Spatula querquedula","9HKHG",2096,"Anatidae","LC",121,9.21506980768314
"Falco subbuteo","6HNPP",2093,"Falconidae","LC",122,9.21713621296488
"Perdix perdix","6V58Q",1986,"Phasianidae","LC",123,9.29284290169222
"Coccothraustes coccothraustes","WLXJ",1873,"Fringillidae","LC",124,9.37735762497755
"Tringa erythropus","58VJ2",1854,"Scolopacidae","LC",125,9.39206728059506
"Milvus milvus","43DZJ",1828,"Accipitridae","LC",126,9.41244245416252
"Circus cyaneus","VG7Z",1815,"Accipitridae","LC",127,9.42273897633748
"Podiceps nigricollis","4KPP4",1729,"Podicipedidae","LC",128,9.49277065557831
"Tringa glareola","58VJ4",1682,"Scolopacidae","LC",129,9.53253081896545
"Strix aluco","532G9",1629,"Strigidae","LC",130,9.57872192069507
"Numenius phaeopus","483T6",1612,"Scolopacidae","LC",131,9.59385678069262
"Luscinia megarhynchos","3WFW6",1589,"Muscicapidae","LC",132,9.61458939987207
"Pluvialis squatarola","4KKPY",1546,"Charadriidae","VU",133,9.65416820529574
"Pyrrhula pyrrhula","4QW2H",1519,"Fringillidae","LC",134,9.67958665471851
"Phoenicurus phoenicurus","4GKQY",1508,"Muscicapidae","LC",135,9.69007209595193
"Dryocopus martius","37VCZ",1445,"Picidae","LC",136,9.75163903183255
"Ardea ibis","CPZZL",1389,"Ardeidae","LC",137,9.8086619252392
"Lullula arborea","732CT",1384,"Alaudidae","LC",138,9.81386458158386
"Pernis apivorus","4F6YZ",1379,"Accipitridae","LC",139,9.81908606770661
"Curruca curruca","DDBMF",1377,"Sylviidae","LC",140,9.82117996508563
"Bucephala clangula","NM25",1358,"Anatidae","LC",141,9.84122504497586
"Poecile montanus","4KSC7",1308,"Paridae","LC",142,9.89534598372251
"Saxicola rubetra","6XR3F",1283,"Muscicapidae","LC",143,9.92318735413091
"Locustella naevia","6QLK4",1204,"Locustellidae","LC",144,10.0148731324609
"Calidris alba","PK3Z",1193,"Scolopacidae","LC",145,10.0281144815254
"Anthus spinoletta","5VKDZ",1182,"Motacillidae","LC",146,10.0414784890431
"Larus cachinnans","3SBPX",1180,"Laridae","LC",147,10.0439216649714
"Dryobates minor","7TCSL",1176,"Picidae","LC",148,10.0488204643842
"Scolopax rusticola","4VS4Z",1135,"Scolopacidae","LC",149,10.1000162270423
"Limosa lapponica","6QFD3",1133,"Scolopacidae","NT",150,10.1025606634001
"Ficedula hypoleuca","6HWGP",1105,"Muscicapidae","LC",151,10.1386621549418
"Pluvialis apricaria","4KKPV",1086,"Charadriidae","LC",152,10.1636844214162
"Larus michahellis","3SBQP",1063,"Laridae","LC",153,10.1945669276895
"Mergus merganser","3ZTRN",1041,"Anatidae","LC",154,10.2247384559212
"Loxia curvirostra","3W8WP",984,"Fringillidae","LC",155,10.3059783038813
"Athene noctua","687BR",982,"Strigidae","LC",156,10.3089135949059
"Astur gentilis","CVW3C",976,"Accipitridae","LC",157,10.3177554716577
"Himantopus himantopus","3LXZ5",971,"Recurvirostridae","LC",158,10.3251653238014
"Asio otus","6866L",964,"Strigidae","LC",159,10.3356034729906
"Muscicapa striata","44Q67",959,"Muscicapidae","LC",160,10.3431058042025
"Corvus corax","YNHG",946,"Corvidae","LC",161,10.3627964358812
"Thalasseus sandvicensis","7C5FT",943,"Laridae","LC",162,10.3673788485455
"Cisticola juncidis","5Z8F6",927,"Cisticolidae","LC",163,10.3920672805951
"Mergellus albellus","3ZTRF",911,"Anatidae","LC",164,10.4171855654185
"Hydrocoloeus minutus","6MJWG",853,"Laridae","LC",165,10.5120908779023
"Pandion haliaetus","4CBTY",842,"Pandionidae","LC",166,10.5308163861542
"Hippolais icterina","3M26B",826,"Acrocephalidae","LC",167,10.5584948378011
"Anser brachyrhynchus","5V9X4",818,"Anatidae","LC",168,10.5725357762788
"Branta bernicla","N749",795,"Anatidae","LC",169,10.6136817590489
"Dendrocoptes medius","7T2T9",787,"Picidae","LC",170,10.6282729837131
"Acanthis flammea","8TTP",765,"Fringillidae","LC",171,10.6691768716406
"Turdus torquatus","59PND",763,"Turdidae","LC",172,10.6729535623861
"Phylloscopus inornatus","77FMP",755,"Phylloscopidae","LC",173,10.6881599750081
"Calidris canutus","PK44",745,"Scolopacidae","NT",174,10.7073961938711
"Lanius collurio","3S7BJ",728,"Laniidae","LC",175,10.7406981690219
"Panurus biarmicus","4CHSV",711,"Panuridae","LC",176,10.7747870596012
"Morus bassanus","7436N",709,"Sulidae","LC",177,10.7788509919811
"Falco columbarius","3DTFW",708,"Falconidae","LC",178,10.7808872591376
"Chlidonias niger","5Y972",679,"Laridae","LC",179,10.8412250449759
"Streptopelia turtur","6ZXPY",673,"Columbidae","VU",180,10.8540301146103
"Locustella luscinioides","6QLJV",652,"Locustellidae","LC",181,10.8997646549895
"Botaurus stellaris","MMYM",646,"Ardeidae","LC",182,10.9131024545267
"Cygnus columbianus","32ZQ6",640,"Anatidae","LC",183,10.9265647143332
"Grus grus","3HFDF",638,"Gruidae","LC",184,10.9310801954557
"Asio flammeus","5W66M",632,"Strigidae","LC",185,10.9447120610435
"Anthus petrosus","5VKF6",629,"Motacillidae","LC",186,10.9515766023413
"Melanitta nigra","3Z83C",621,"Anatidae","LC",187,10.9700433510001
"Milvus migrans","43DZH",611,"Accipitridae","LC",188,10.9934642394019
"Oriolus oriolus","74VGB",601,"Oriolidae","LC",189,11.0172716285094
"Lanius excubitor","3S7BN",568,"Laniidae","LC",190,11.0987456897159
"Aix galericulata","5TV4F",563,"Anatidae","LC",191,11.1115016971404
"Rissa tridactyla","4T594",563,"Laridae","VU",192,11.1115016971404
"Calidris minuta","PK4D",561,"Scolopacidae","LC",193,11.1166358486118
"Ardea purpurea","GCJ8",552,"Ardeidae","LC",194,11.1399683524424
"Calidris maritima","695XN",523,"Scolopacidae","LC",195,11.2178256729736
"Certhia familiaris","5XN9F",489,"Certhiidae","LC",196,11.3148021542684
"Anser serrirostris","9HH6D",474,"Anatidae","",197,11.3597495603223
"Tyto alba","59ZVQ",467,"Tytonidae","LC",198,11.3812140695109
"Mergus serrator","3ZTRQ",462,"Anatidae","LC",199,11.3967437678045
"Phylloscopus sibillatrix","6VFN8",453,"Phylloscopidae","",200,11.4251255691744
"Netta rufina","479P3",447,"Anatidae","LC",201,11.4443617880373
"Anser indicus","5V9X5",446,"Anatidae","LC",202,11.4475929093003
"Calidris ferruginea","PK47",426,"Scolopacidae","VU",203,11.5137831889948
"Ciconia nigra","5YTSK",426,"Ciconiidae","LC",204,11.5137831889948
"Coturnix coturnix","YYSJ",419,"Phasianidae","LC",205,11.5376863755212
"Cinclus cinclus","VDPH",411,"Cinclidae","LC",206,11.5654982255389
"Sternula albifrons","52G25",405,"Laridae","LC",207,11.5867147114486
"Gavia stellata","3FFP8",404,"Gaviidae","LC",208,11.5902813264688
"Uria aalge","7DS6Y",396,"Alcidae","LC",209,11.619136189141
"Botaurus minutus","CR8MD",388,"Ardeidae","LC",210,11.6485799670335
"Lymnocryptes minimus","3WSC2",380,"Scolopacidae","LC",211,11.6786372008896
"Emberiza calandra","39FSR",375,"Emberizidae","LC",212,11.6977460238373
"Jynx torquilla","3QXQR",370,"Picidae","LC",213,11.7171113487043
"Aythya marila","K56W",366,"Anatidae","LC",214,11.7327929709365
"Plectrophenax nivalis","77QJ8",347,"Calcariidae","LC",215,11.8097009566423
"Gavia immer","3FFP6",344,"Gaviidae","LC",216,11.8222280545185
"Stercorarius parasiticus","52D8N",340,"Stercorariidae","LC",217,11.8391018730829
"Serinus serinus","4WV7R",339,"Fringillidae","LC",218,11.8433513460842
"Alca torda","BGZW",336,"Alcidae","LC",219,11.8561753864418
"Hippolais polyglotta","3M26F",336,"Acrocephalidae","LC",220,11.8561753864418
"Somateria mollissima","6Z4ZB",320,"Anatidae","NT",221,11.9265647143332
"Calidris temminckii","PK4K",315,"Scolopacidae","LC",222,11.9492847908333
"Galerida cristata","3F4BG",311,"Alaudidae","LC",223,11.96772203909
"Podiceps grisegena","4KPNX",289,"Podicipedidae","LC",224,12.0735671267199
"Remiz pendulinus","4RRFV",271,"Remizidae","LC",225,12.1663437678667
"Melanitta fusca","3Z83B",263,"Anatidae","VU",226,12.2095738199283
"Bubo bubo","NKSD",259,"Strigidae","LC",227,12.231684521534
"Tadorna ferruginea","54GHT",253,"Anatidae","LC",228,12.2654992345263
"Stercorarius skua","52D8Q",249,"Stercorariidae","LC",229,12.2884908771525
"Nycticorax nycticorax","485KR",247,"Ardeidae","LC",230,12.3001255776359
"Porzana porzana","4M2R8",245,"Rallidae","LC",231,12.311854870218
"Gulosus aristotelis","D5JSP",236,"Phalacrocoracidae","LC",232,12.3658497598587
"Plegadis falcinellus","4K62L",234,"Threskiornithidae","LC",233,12.3781280896372
"Podiceps auritus","4KPNN",233,"Podicipedidae","VU",234,12.3843066645663
"Cygnus atratus","32ZQ4",231,"Anatidae","LC",235,12.3967437678045
"Calcarius lapponicus","PGVX",228,"Calcariidae","LC",236,12.4156027950558
"Caprimulgus europaeus","QSND",228,"Caprimulgidae","LC",237,12.4156027950558
"Cygnus cygnus","32ZQ7",217,"Anatidae","LC",238,12.4869415767761
"Haliaeetus albicilla","3JBJV",216,"Accipitridae","LC",239,12.4936053070571
"Sterna paradisaea","6ZSDC",209,"Laridae","LC",240,12.5411336771397
"Acrocephalus arundinaceus","9L48",204,"Acrocephalidae","",241,12.5760674672491
"Aythya nyroca","K56Y",203,"Anatidae","NT",242,12.5831568920354
"Gavia arctica","3FFP5",200,"Gaviidae","LC",243,12.6046366194459
"Stercorarius pomarinus","52D8P",195,"Stercorariidae","LC",244,12.641162495471
"Phalaropus fulicarius","4FRHR",194,"Scolopacidae","LC",245,12.6485799670335
"Charadrius alexandrinus","TMWL",191,"Charadriidae","",246,12.6710639811848
"Phylloscopus proregulus","77FN7",187,"Phylloscopidae","LC",247,12.701598349333
"Phylloscopus fuscatus","77FML",183,"Phylloscopidae","LC",248,12.7327929709365
"Myiopsitta monachus","4532H",181,"Psittacidae","LC",249,12.7486469221374
"Circus pygargus","VG87",181,"Accipitridae","LC",250,12.7486469221374
"Bombycilla garrulus","5WNQS",178,"Bombycillidae","LC",251,12.7727593782542
"Rhodostethia rosea","4SJLX",174,"Laridae","LC",252,12.8055493133719
"Branta ruficollis","N74F",174,"Anatidae","VU",253,12.8055493133719
"Buteo lagopus","NYVC",171,"Accipitridae","LC",254,12.8306402943347
"Fulmarus glacialis","6K3X3",166,"Procellariidae","LC",255,12.8734533778737
"Cairina moschata","PBGT",165,"Anatidae","LC",256,12.8821705949748
"Clangula hyemalis","5YVVD",162,"Anatidae","VU",257,12.908642806336
"Anthus campestris","67KDW",156,"Motacillidae","LC",258,12.9630905903583
"Phylloscopus humei","6VFMM",155,"Phylloscopidae","LC",259,12.9723684039464
"Puffinus puffinus","4QFY4",151,"Procellariidae","LC",260,13.0100880698955
"Ardenna grisea","D5KCJ",147,"Procellariidae","NT",261,13.0488204643842
"Chlidonias hybrida","5XX6Q",145,"Laridae","LC",262,13.0685837192057
"Nucifraga caryocatactes","482M4",141,"Corvidae","LC",263,13.1089414568218
"Anser rossii","66XWT",140,"Anatidae","LC",264,13.1192097922756
"Anthus richardi","67KF5",133,"Motacillidae","LC",265,13.1932103737194
"Merops apiaster","3ZW55",129,"Meropidae","LC",266,13.2372655537973
"Hydrobates leucorhous","D5KF8",129,"Hydrobatidae","VU",267,13.2372655537973
"Emberiza pusilla","39FTJ",127,"Emberizidae","LC",268,13.2598081224484
"Charadrius morinellus","TMX9",127,"Charadriidae","",269,13.2598081224484
"Eremophila alpestris","6GFXQ",121,"Alaudidae","LC",270,13.329629571946
"Oxyura jamaicensis","4BMPH",119,"Anatidae","",271,13.3536750459126
"Larus hyperboreus","3SBQG",119,"Laridae","LC",272,13.3536750459126
"Lyrurus tetrix","3WTTR",117,"Phasianidae","LC",273,13.3781280896372
"Stercorarius longicaudus","52D8L",115,"Stercorariidae","LC",274,13.4030027582762
"Hydroprogne caspia","3N8ZF",113,"Laridae","LC",275,13.4283138468054
"Curruca nisoria","DDBLT",112,"Sylviidae","LC",276,13.441137887163
"Chlidonias leucopterus","5Y96Q",111,"Laridae","LC",277,13.4540769428705
"Falco vespertinus","3DTGX",111,"Falconidae","VU",278,13.4540769428705
"Circus macrourus","VG83",110,"Accipitridae","NT",279,13.4671330956959
"Ficedula parva","6HWGB",108,"Muscicapidae","LC",280,13.4936053070571
"Corvus cornix","YNHH",108,"Corvidae","",281,13.4936053070571
"Larus glaucoides","3SBQC",107,"Laridae","LC",282,13.5070258228194
"Ardeola ralloides","GCML",106,"Ardeidae","LC",283,13.5205723546574
"Circaetus gallicus","VFS9",102,"Accipitridae","LC",284,13.5760674672491
"Xema sabini","7G8T5",102,"Laridae","LC",285,13.5760674672491
"Phalaropus lobatus","4FRHS",101,"Scolopacidae","LC",286,13.5902813264688
"Upupa epops","7DLHC",100,"Upupidae","LC",287,13.6046366194459
"Psittacula eupatria","4PKCF",98,"Psittaculidae","LC",288,13.6337829651054
"Aegolius funereus","658RG",97,"Strigidae","LC",289,13.6485799670335
"Microcarbo pygmaeus","D5K8J",97,"Phalacrocoracidae","LC",290,13.6485799670335
"Zapornia pusilla","CPPDY",93,"Rallidae","LC",291,13.7093339981126
"Turdus eunomus","59PLD",93,"Turdidae","LC",292,13.7093339981126
"Tringa stagnatilis","58VJG",93,"Scolopacidae","LC",293,13.7093339981126
"Saxicola maurus","6XQRF",92,"Muscicapidae","",294,13.7249308531636
"Anthus cervinus","5VKDV",88,"Motacillidae","LC",295,13.7890611905833
"Branta hutchinsii","N74B",88,"Anatidae","LC",296,13.7890611905833
"Anser cygnoides","66Y8S",85,"Anatidae","EN",297,13.8391018730829
"Linaria flavirostris","6QGKV",85,"Fringillidae","LC",298,13.8391018730829
"Calidris melanotos","PK4C",84,"Scolopacidae","LC",299,13.8561753864418
"Larus delawarensis","3SBQ4",81,"Laridae","LC",300,13.908642806336
"Acrocephalus dumetorum","9L5F",81,"Acrocephalidae","LC",301,13.908642806336
"Elanus caeruleus","38YJ7",80,"Accipitridae","LC",302,13.9265647143332
"Crex crex","ZFFP",79,"Rallidae","LC",303,13.9447120610435
"Carpodacus erythrinus","RG9T",78,"Fringillidae","LC",304,13.9630905903583
"Aythya collaris","K56S",77,"Anatidae","LC",305,13.9817062685257
"Glaucidium passerinum","3G64C",76,"Strigidae","LC",306,14.000565295777
"Emberiza hortulana","39FT7",76,"Emberizidae","LC",307,14.000565295777
"Aix sponsa","BDDV",76,"Anatidae","LC",308,14.000565295777
"Oenanthe isabellina","48X87",75,"Muscicapidae","LC",309,14.0196741187247
"Zapornia parva","CPPDW",73,"Rallidae","LC",310,14.0586682503406
"Phylloscopus trochiloides","6VFNC",72,"Phylloscopidae","LC",311,14.0785678077783
"Gelochelidon nilotica","3FJY7",71,"Laridae","LC",312,14.0987456897159
"Bubo scandiacus","NKTJ",68,"Strigidae","VU",313,14.1610299679703
"Anser caerulescens","66XWS",67,"Anatidae","LC",314,14.1824036187628
"Lanius senator","3S7C6",62,"Laniidae","NT",315,14.2942964988337
"Spatula discors","9HKHF",61,"Anatidae","LC",316,14.3177554716577
"Anser erythropus","66Y94",61,"Anatidae","VU",317,14.3177554716577
"Pastor roseus","4DZCM",60,"Sturnidae","LC",318,14.3416022136121
"Sibirionetta formosa","9HKDN",60,"Anatidae","LC",319,14.3416022136121
"Anthus hodgsoni","67KDB",60,"Motacillidae","LC",320,14.3416022136121
"Cecropis rufula","TZL28",59,"Hirundinidae","",321,14.3658497598587
"Oenanthe deserti","48X6R",59,"Muscicapidae","LC",322,14.3658497598587
"Phylloscopus schwarzi","6VFMW",58,"Phylloscopidae","LC",323,14.390511814093
"Burhinus oedicnemus","NXG9",56,"Burhinidae","LC",324,14.441137887163
"Alle alle","BTFY",56,"Alcidae","LC",325,14.441137887163
"Phylloscopus ibericus","77FMM",56,"Phylloscopidae","LC",326,14.441137887163
"Locustella fluviatilis","72LK9",56,"Locustellidae","LC",327,14.441137887163
"Mareca americana","3Y3C6",54,"Anatidae","LC",328,14.4936053070571
"Tarsiger cyanurus","54XYS",54,"Muscicapidae","LC",329,14.4936053070571
"Melospiza melodia","3ZN55",53,"Passerellidae","",330,14.5205723546574
"Helopsaltes certhiola","PDTFG",52,"Locustellidae","LC",331,14.5480530910795
"Xenus cinereus","5CBY8",52,"Scolopacidae","LC",332,14.5480530910795
"Loxia pytyopsittacus","3W8WV",51,"Fringillidae","LC",333,14.5760674672491
"Emberiza cirlus","9G55B",51,"Emberizidae","LC",334,14.5760674672491
"Emberiza leucocephalos","39FTD",49,"Emberizidae","LC",335,14.6337829651054
"Pluvialis fulva","4KKPX",49,"Charadriidae","LC",336,14.6337829651054
"Tichodroma muraria","56VKH",49,"Tichodromidae","LC",337,14.6337829651054
"Acrocephalus paludicola","9L77",49,"Acrocephalidae","VU",338,14.6337829651054
"Oxyura leucocephala","4BMPJ",48,"Anatidae","EN",339,14.6635303084994
"Cepphus grylle","SFVL",47,"Alcidae","LC",340,14.693903957543
"Gyps fulvus","3HXNC",47,"Accipitridae","LC",341,14.693903957543
"Tringa flavipes","58VJ3",47,"Scolopacidae","VU",342,14.693903957543
"Apus pallidus","67QDC",46,"Apodidae","LC",343,14.7249308531636
"Curruca undata","NBQ3Z",45,"Sylviidae","NT",344,14.7566397128909
"Prunella collaris","4N8B4",40,"Prunellidae","LC",345,14.9265647143332
"Vanellus gregarius","7FFJ4",40,"Charadriidae","CR",346,14.9265647143332
"Iduna caligata","6MT97",39,"Acrocephalidae","LC",347,14.9630905903583
"Somateria spectabilis","4Y8FV",39,"Anatidae","LC",348,14.9630905903583
"Ptyonoprogne rupestris","4QBMM",38,"Hirundinidae","LC",349,15.000565295777
"Monticola solitarius","44B89",37,"Muscicapidae","LC",350,15.0390394435916
"Leucophaeus pipixcan","6Q4RB",37,"Laridae","LC",351,15.0390394435916
"Emberiza rustica","39FTK",37,"Emberizidae","NT",352,15.0390394435916
"Hydrobates pelagicus","3N5B2",37,"Hydrobatidae","LC",353,15.0390394435916
"Oenanthe pleschanka","6SJPR",36,"Muscicapidae","LC",354,15.0785678077783
